"","year","wgr","masters_finish","total_score","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_putt","sg_t2g","sg_total","points_gained","m_cut","top_25","new_score","m_play"
"593",2011,154,27,290,125,2,1,71.036,84,19.54,56.91,303.7,4.66,66.6,3574.333,29.71,53.52,-0.154,0.213,0.059,3.64,"1","0",290,"0"
"594",2013,61,99,155,80,4,0,71.135,79,19.03,58.73,295.7,4.67,64.63,3584.25,29,55.07,0.146,-0.381,-0.235,55.462,"0","0",315,"1"
"595",2005,24,16,289,12,5,0,69.985,87,23.91,71.48,281.2,4.58,66.47,3463.583,28.8,57.23,-0.067,1.042,0.974,63.77,"1","1",289,"0"
"596",2006,67,30,301,45,4,0,70.67,88,19.55,75.23,276.1,4.72,66.02,2692.5,28.72,62.55,0.081,0.573,0.617,0,"1","0",301,"1"
"597",2007,22,99,153,39,10,1,69.693,82,17.59,71.42,279.6,4.74,64.33,2825.583,28.67,61.15,-0.236,1.179,0.943,25.213,"0","0",313,"1"
"598",2009,64,18,287,16,6,0,70.037,88,21.56,71.4,281.1,4.64,67,3790.833,28.89,59.32,0.031,0.856,0.887,12.184,"1","1",287,"1"
"599",2005,49,99,152,31,4,1,70.613,103,17.88,61.41,300.1,4.68,67.23,5076.333,29.48,57.71,0.133,0.229,0.362,9.49,"0","0",312,"0"
"600",2007,29,14,289,6,5,0,70.19,98,21.9,64.71,296.8,4.63,67.12,3964,29.4,60.17,0.18,0.972,1.152,75.366,"1","1",289,"1"
"601",2008,28,10,281,113,3,1,70.323,81,15.79,60.44,291.1,4.66,64.47,3356,29.74,55.79,-0.214,0.624,0.411,83.267,"1","1",281,"1"
"602",2009,19,30,291,22,9,1,69.947,80,23.42,61.6,293.3,4.67,67.84,2827.583,29.54,57.5,-0.127,1.297,1.17,28.644,"1","0",291,"1"
"603",2010,64,99,146,100,3,0,70.603,84,18.54,63.98,289.3,4.72,68.22,3169.75,29.8,61.83,-0.071,0.697,0.615,6.556,"0","0",306,"1"
"604",2011,78,32,291,155,1,1,70.81,71,15.65,55.78,294.6,4.69,63.17,3094.5,29.54,54.74,-0.253,0.164,-0.089,28.023,"1","0",291,"1"
"605",2016,85,99,153,13,2,0,70.677,89,20.78,58.84,302.2,4.64,67.17,4358.833,29.02,57.79,0.208,0.163,0.371,21.293,"0","0",313,"1"
"606",2005,6,46,298,22,8,1,69.639,73,28,59.44,303.5,4.56,71.81,2359.75,30.16,59.42,-0.26,1.773,1.513,49.72,"1","0",298,"0"
"607",2006,12,99,154,54,5,0,70.567,59,23.56,61.11,292.7,4.62,67.47,2286.417,29.78,52.8,-0.123,1.122,0.841,63.5,"0","0",314,"1"
"608",2007,14,99,148,20,7,0,69.481,68,20.65,56.28,294.2,4.58,64.56,2564.333,28.62,57.96,0.269,1.192,1.461,26.4,"0","0",308,"1"
"609",2008,3,38,289,28,6,1,69.117,72,21.05,59.39,294.6,4.57,67.06,2609.167,29.61,57.59,-0.077,1.625,1.548,31.456,"1","0",289,"1"
"610",2009,17,45,298,50,3,0,70.056,59,22.93,59.61,298.5,4.62,65.61,2146.75,29.36,57.94,-0.065,0.828,0.763,35.728,"1","0",298,"1"
"611",2010,72,35,288,157,1,0,71.076,58,26.79,63.75,292.7,4.66,66.13,1655.417,29.88,54.57,-0.36,0.424,0.068,25.208,"1","0",288,"1"
"612",2011,21,12,286,26,3,0,69.564,61,24.52,58,299.2,4.62,66.85,2242.917,29.13,60.16,-0.119,1.103,0.984,39.428,"1","1",286,"1"
"613",2012,16,8,285,18,3,1,69.928,57,19.46,61.15,292.4,4.54,64.98,2241.333,28.66,58.36,0.4,0.704,1.104,65.264,"1","1",285,"1"
"614",2013,8,99,149,9,6,0,69.543,65,26.38,61.28,291,4.57,67.46,2153.333,28.92,57.45,0.591,0.928,1.519,69.391,"0","0",309,"1"
"615",2014,8,17,283,4,10,0,68.95,61,20,62.19,294.3,4.65,68.68,1793.917,28.59,66.67,0.167,1.818,1.984,19.108,"1","1",283,"1"
"616",2015,15,34,296,32,4,0,69.958,59,19.72,59.47,300,4.63,67.56,2042.75,28.96,58.41,-0.022,1.067,1.045,53.912,"1","0",296,"1"
"617",2016,11,1,279,4,4,1,69.999,54,24.09,61.76,299.9,4.61,70.15,1764.167,29.75,57.66,-0.388,1.189,0.801,65.972,"1","1",279,"1"
"618",2017,9,99,159,15,3,1,69.596,65,20.78,61.08,300.9,4.61,69.73,1941.333,29.38,61.39,-0.39,1.331,0.941,68.33,"0","0",319,"1"
"619",2014,84,38,289,42,3,1,70.661,92,25.42,55.02,296.5,4.67,66.97,3611.917,29.2,60.33,-0.121,0.427,0.306,0,"1","0",289,"0"
"620",2016,65,99,151,105,2,0,70.64,57,18.33,61.85,298.7,4.78,64.51,1879.083,29.56,53.91,0.06,0.491,0.551,11.93,"0","0",311,"0"
"621",2005,174,99,152,174,2,0,71.489,81,13.93,62.1,288.4,4.7,65.05,3612.833,29.77,54.93,0.146,-0.034,0.112,0,"0","0",312,"0"
"622",2006,59,99,159,75,2,0,70.636,96,20.82,61.79,288.4,4.67,67.62,3864.5,29.53,56.27,0.133,0.541,0.637,0,"0","0",319,"1"
"623",2007,150,99,150,159,3,0,70.964,91,18.73,67.72,284.4,4.76,66.04,3297.917,29.82,57.25,-0.027,0.393,0.366,1.354,"0","0",310,"1"
"624",2005,64,99,154,24,5,0,70.176,99,20.23,61.66,288.8,4.67,65.42,3561.583,28.76,60.98,0.261,0.92,1.182,0,"0","0",314,"0"
"625",2016,26,99,156,26,5,1,70.56,113,19.13,62.84,293.5,4.59,64.83,4800.417,28.6,62.32,-0.109,0.608,0.499,0,"0","0",316,"0"
"626",2017,177,24,287,188,2,1,72.253,80,19.92,55.92,288.4,4.75,58.84,3261.25,29.13,55.13,-0.442,-0.78,-1.222,0,"1","1",287,"1"
"627",2005,25,11,287,138,3,0,70.507,82,16.46,61.01,285.8,4.74,62.03,3550.167,28.68,60.56,0.426,0.376,0.802,94.54,"1","1",287,"0"
"628",2006,28,24,299,18,3,1,70.436,63,20.96,62.98,289.8,4.62,66.49,2367.667,29.05,59.09,0.462,0.745,1.112,34.07,"1","1",299,"1"
"629",2007,28,25,292,116,4,1,70.09,81,15.69,67.07,282.2,4.76,64.94,3282.75,29.34,58.49,0.251,0.33,0.58,34.516,"1","1",292,"1"
"630",2008,45,20,286,56,7,0,69.988,83,20.61,62.72,283.8,4.64,65.04,2834.75,28.99,58.72,0.303,0.736,1.039,16.021,"1","1",286,"1"
"631",2007,108,5,286,60,3,2,70.958,100,19.73,63.56,287.5,4.69,65.83,3949.917,29.42,58.05,-0.244,0.252,0.007,10.342,"1","1",286,"0"
"632",2008,117,6,280,93,2,0,70.975,95,21.63,60.98,281.9,4.67,64.62,3525.5,29.05,59.34,-0.097,0.09,-0.007,9.632,"1","1",280,"1"
"633",2009,276,38,294,127,2,0,71.055,77,23.3,63.01,284.4,4.72,66.67,2825.833,29.27,60.82,-0.292,0.18,-0.112,0,"1","0",294,"1"
"634",2007,127,99,157,79,1,0,71.573,74,20.61,63.33,292,4.69,66.29,3695.25,29.61,56.12,-0.086,-0.144,-0.23,43.092,"0","0",317,"0"
"635",2009,120,14,286,31,5,0,69.903,98,22.27,63.41,295.7,4.58,68.26,3935.083,29.19,59.96,0.11,0.91,1.02,0,"1","1",286,"0"
"636",2010,48,42,290,80,3,0,70.875,81,26.75,61.96,290.6,4.73,67.49,3609.167,29.53,56.33,0.261,0.307,0.567,0,"1","0",290,"1"
"637",2006,41,99,156,4,7,0,69.372,64,17.74,66.98,285.3,4.58,68.01,1880.167,28.26,65.55,0.614,0.875,1.735,35.25,"0","0",316,"0"
"638",2007,4,99,150,37,9,1,69.394,81,15.23,63.73,283.7,4.62,65.83,2330.833,28.64,60.98,0.322,1.164,1.486,75.183,"0","0",310,"1"
"639",2008,11,6,280,108,6,0,69.976,75,13.78,56.25,283.6,4.63,63.81,2533.167,28.76,61.83,0.411,0.497,0.908,73.463,"1","1",280,"1"
"640",2009,2,30,291,6,11,3,69.286,81,21.51,66.82,286.1,4.54,66.67,2545.167,28.24,66.46,0.207,1.621,1.828,101.601,"1","0",291,"1"
"641",2010,10,11,283,3,9,2,69.66,73,17.72,68.5,282.9,4.58,68.29,2152.5,28.69,63.75,0.437,1.383,1.818,31.402,"1","1",283,"1"
"642",2011,5,47,295,8,5,2,69.362,70,20.26,62.47,288.8,4.49,66.02,2205.917,27.96,64.93,0.78,0.95,1.73,61.43,"1","0",295,"1"
"643",2012,8,20,289,22,7,1,69.865,73,19.88,63.31,285.4,4.62,68.33,2156.667,29.06,60.15,0.134,1.161,1.295,88.336,"1","1",289,"1"
"644",2013,15,31,293,2,8,0,68.893,51,22.22,70.65,283.6,4.52,71.16,1306.75,28.68,65.57,0.72,1.474,2.193,3.311,"1","0",293,"1"
"645",2016,115,16,288,60,3,0,69.996,53,23.26,63.23,278,4.63,63,1903,27.96,66.01,0.62,0.101,0.721,4.316,"1","1",288,"1"
"646",2013,134,26,292,105,1,0,71.335,67,20.86,53.04,300.2,4.6,61.97,2983.667,28.48,62.47,-0.046,-0.283,-0.329,42.695,"1","0",292,"0"
"647",2015,84,99,161,47,2,1,70.835,103,23.75,54.04,302.1,4.65,63.43,4381,28.2,65.19,0.144,0.256,0.4,7.834,"0","0",321,"1"
"648",2005,41,10,286,56,5,0,70.32,98,18.34,60.62,285.5,4.74,65.74,3596,28.98,59.46,0.545,0.278,0.823,20.67,"1","1",286,"0"
"649",2006,25,17,297,25,7,0,69.66,93,18.49,59.72,292,4.62,64.9,3645.833,28.75,60.61,0.789,0.557,1.289,21.55,"1","1",297,"1"
"650",2007,15,3,284,57,6,0,70.133,91,20.72,56.47,294.7,4.68,66.16,3460,29.18,56.9,0.412,0.256,0.668,89.537,"1","1",284,"1"
"651",2008,18,99,147,5,7,1,70.019,87,23.25,55.27,296.9,4.61,66.94,3042.333,29.16,55.6,0.521,0.604,1.125,38.303,"0","0",307,"1"
"652",2009,22,99,152,117,4,1,70.465,79,16.82,58.58,294.7,4.64,63.47,3135.667,29.08,57.5,0.34,-0.054,0.287,26.265,"0","0",312,"1"
"653",2010,58,99,146,43,3,0,70.431,84,22.94,63.98,292.4,4.59,68.61,3067.167,29.48,57.08,0.19,0.628,0.827,18.493,"0","0",306,"1"
"654",2011,163,50,296,107,1,0,70.7,72,21.46,56.58,291.8,4.67,64.31,2479.917,28.97,57.08,0.169,0.501,0.67,7.701,"1","0",296,"1"
"655",2012,214,25,290,179,0,0,71.483,71,15.18,53.43,288.8,4.74,64.26,2951.25,29.7,52.9,0.301,-0.529,-0.228,24.669,"1","1",290,"1"
"656",2013,177,14,289,81,3,0,70.633,71,21.56,57.19,290,4.65,67.76,2377.917,29.99,53.16,-0.238,0.654,0.416,4.638,"1","1",289,"1"
"657",2005,31,19,290,92,4,1,70.543,84,18.39,59.31,300.6,4.6,66.88,3159.667,29.44,59.33,-0.072,0.783,0.712,62.2,"1","1",290,"0"
"658",2006,19,7,293,24,6,2,70.251,83,17.35,59.62,289.7,4.59,63.53,3353.167,28.63,59.18,0.22,1.143,1.262,50.98,"1","1",293,"1"
"659",2007,27,14,289,138,3,0,70.477,74,18.18,60.43,290.9,4.7,61.57,2831.583,29.12,58.42,-0.037,0.376,0.339,50.547,"1","1",289,"1"
"660",2008,54,30,287,70,7,0,69.726,87,15.87,58.19,290.9,4.66,61.9,3433.833,28.55,60.24,0.427,0.648,1.075,9.969,"1","0",287,"1"
"661",2010,68,99,147,153,3,1,70.954,101,19.8,59.75,289,4.71,61.84,4562.833,28.89,58.82,-0.056,0.189,0.13,22.521,"0","0",307,"1"
"662",2012,176,99,149,176,1,1,71.71,77,17.48,64.18,284.5,4.76,63.32,3238,29.33,55.6,0.073,-0.896,-0.823,0,"0","0",309,"0"
"663",2005,71,32,293,113,3,1,70.831,122,21.11,63.35,295.2,4.65,65.07,5344.333,29.7,54.89,-0.249,0.375,0.127,0,"1","0",293,"0"
"664",2005,126,99,149,200,1,0,71.982,54,14.69,56.88,287.2,4.84,61.32,2261.583,30.19,51.49,-0.849,-0.383,-1.233,0,"0","0",309,"0"
"665",2005,1,3,284,1,13,6,68.655,76,24.4,54.58,316.1,4.52,69.89,2937.5,28.7,62.09,0.659,1.742,2.401,187.48,"1","1",284,"0"
"666",2006,1,2,291,1,11,8,68.115,55,24.77,60.71,306.4,4.43,74.15,1432.917,29.38,62.81,0.461,2.982,3.304,156.12,"1","1",291,"1"
"667",2007,1,2,283,1,12,7,67.794,63,23.39,59.83,302.4,4.48,71.02,1838.417,28.93,61.02,0.712,2.38,3.092,266.24,"1","1",283,"1"
"668",2009,1,4,277,1,14,6,68.052,64,17.95,64.29,298.4,4.43,68.46,2081.083,28.44,68.18,0.877,2.311,3.189,0,"1","1",277,"1"
"669",2012,1,4,283,10,9,3,68.904,69,18.9,63.93,297.4,4.56,67.58,2218.5,28.91,63.17,0.339,1.971,2.31,194.044,"1","1",283,"1"
"670",2005,30,2,283,9,6,0,70.067,92,24.5,65.77,283.8,4.56,64.24,3285,28.6,58.21,-0.177,0.848,0.671,23.14,"1","1",283,"0"
"671",2006,39,13,296,69,4,0,70.577,80,18.81,67.27,276.7,4.61,65.96,2435.333,29.03,59.09,0.22,0.551,0.679,4.42,"1","1",296,"1"
"672",2007,35,99,152,19,6,0,69.877,66,13.14,68.95,278.1,4.69,61.37,2397.5,27.88,63.6,0.695,0.293,0.988,12.858,"0","0",312,"1"
"673",2008,37,13,282,46,3,0,70.311,90,18.25,64.98,281.1,4.74,63.61,3325.417,28.97,58.32,0.076,0.565,0.641,31.273,"1","1",282,"1"
"674",2009,37,99,148,3,5,0,69.658,81,23.44,74.06,280.1,4.61,66.95,2320.667,28.53,62.93,0.276,0.985,1.261,38.454,"0","0",308,"1"
"675",2010,23,99,146,38,7,1,70.246,88,18.32,73.72,272.2,4.71,66.73,2787.583,28.87,62.67,0.269,0.564,0.832,28.13,"0","0",306,"1"
"676",2012,58,11,286,93,3,0,70.697,60,14.71,71.6,276.7,4.74,64.26,2470,29.33,58.03,-0.121,0.422,0.301,32.71,"1","1",286,"1"
"677",2013,114,99,157,108,3,0,70.693,64,16.76,70.31,273.9,4.69,62.02,2078.333,28.89,60.19,0.058,0.086,0.144,0,"0","0",317,"1"
"678",2005,62,36,294,35,7,0,70.106,100,22.81,61.61,292.1,4.66,65.26,3632.25,28.56,61.71,0.45,0.797,1.247,0,"1","0",294,"0"
"679",2006,88,37,302,144,2,1,71.269,82,14.02,58.28,294.8,4.71,62.62,3095.833,29.44,55.23,-0.579,0.47,-0.144,0,"1","0",302,"1"
"680",2005,161,99,150,160,0,0,71.458,94,18.56,61.92,287.2,4.73,63.68,3779.25,29.15,53.11,0.004,-0.143,-0.139,0,"0","0",310,"0"
"681",2006,194,99,154,194,1,0,72.836,72,14.29,56.32,283.6,4.78,56.87,3526.417,29.01,51.34,-0.164,-1.425,-1.726,0,"0","0",314,"1"
"682",2007,195,36,295,195,0,0,72.933,76,15.49,57.06,288.7,4.85,56.94,3367.75,29.13,50.76,0.032,-1.585,-1.554,0,"1","0",295,"1"
"683",2008,143,15,283,161,0,0,71.077,92,15.56,66.87,284,4.75,62.98,4018.417,29.21,53.83,0.309,-0.187,0.123,0,"1","1",283,"1"
"684",2009,148,99,151,166,1,0,71.505,83,18.9,64.6,284.8,4.75,63.65,3370.167,29.31,57.74,0.123,-0.612,-0.489,0,"0","0",311,"1"
"685",2005,33,99,151,110,4,0,70.639,69,13.85,64.29,285.9,4.69,67.58,2487.167,29.69,56.78,-0.332,0.58,0.248,50.92,"0","0",311,"0"
"686",2006,31,17,297,31,7,0,70.321,108,22.22,65.28,283.9,4.61,64.53,4372.417,28.88,58.58,0.541,0.406,0.85,0,"1","1",297,"0"
"687",2017,34,10,281,6,8,0,69.987,106,23.74,57.53,309.2,4.56,68.96,4631.917,29.26,59.38,-0.133,1.28,1.147,53.727,"1","1",281,"0"
"688",2006,13,55,309,9,8,1,69.507,86,19.91,62.08,294.9,4.54,69.06,3351.5,29.26,60.54,0.058,1.646,1.607,67.79,"1","0",309,"0"
"689",2007,24,1,280,152,4,0,70.731,74,15.94,64.85,286.6,4.78,65.52,2412.917,30.19,56.16,-0.253,0.735,0.482,8.486,"1","1",280,"1"
"690",2008,34,20,286,182,3,1,70.519,70,17.17,62.45,291.3,4.75,63.07,2206.583,29.68,52.88,-0.675,0.67,-0.006,10.708,"1","1",286,"1"
"691",2010,216,15,284,144,0,0,71.162,55,17.61,64.07,286.4,4.71,66.06,2062.5,29.89,59.52,0.074,-0.401,-0.324,9.814,"1","1",284,"1"
"692",2011,127,60,301,90,2,0,70.433,84,15.89,61.74,288.5,4.68,68.12,2764.167,29.61,58.09,0.297,0.036,0.333,13.74,"1","0",301,"1"
"693",2012,264,50,295,172,0,0,71.37,76,18.07,59.7,290.9,4.76,63.45,2814,29.59,56.6,-0.122,0.487,0.365,3.642,"1","0",295,"1"
"694",2013,222,99,153,169,1,0,71.491,73,16.16,61.19,283.6,4.75,66.51,2847,29.94,59.13,-0.365,0.074,-0.291,10.403,"0","0",313,"1"
"695",2014,146,99,153,146,1,0,71.471,84,14.52,58.5,291.8,4.66,65.28,3463.833,29.7,54.6,-0.474,0.157,-0.317,0,"0","0",313,"1"
"696",2006,83,99,158,115,5,1,71.335,101,15.12,59.45,298.7,4.63,66.34,5563.583,29.52,57.68,-0.014,-0.178,-0.349,0,"0","0",318,"0"
"697",2015,83,42,299,173,3,1,71.458,91,16.6,62.83,285.2,4.81,63.37,4557.583,28.59,61.83,0.384,-0.579,-0.195,30.86,"1","0",299,"0"
"698",2005,75,99,149,29,4,1,70.765,99,21.68,64.21,290.3,4.65,65.66,4613.167,28.9,57.84,-0.195,0.558,0.363,0,"0","0",309,"0"
"699",2006,54,10,295,14,6,0,70.457,88,25.93,63.31,286.6,4.61,64.08,3924.25,28.67,55.36,0.366,0.692,0.967,0,"1","1",295,"1"
"700",2007,116,99,151,43,3,0,70.561,91,19.57,64.2,283.6,4.64,64.18,3679,29.1,54.37,0.237,0.269,0.506,14.549,"0","0",311,"1"
"701",2005,2,8,285,2,18,4,69.04,111,27.83,60.2,301.1,4.54,70.54,4475.25,29.25,64.19,0.159,2.03,2.189,94.93,"1","1",285,"0"
"702",2006,7,13,296,6,13,1,69.619,103,22.39,59.4,293.7,4.57,67.83,3906.333,28.89,60.28,0.055,1.67,1.699,155.75,"1","1",296,"1"
"703",2007,8,14,289,5,7,2,69.489,102,21.22,59.66,293.8,4.56,66.22,3991.167,29.05,58.88,-0.023,1.402,1.379,106.069,"1","1",289,"1"
"704",2008,6,30,287,31,8,3,69.58,82,17.31,59.45,297.8,4.52,68.45,2501.5,29.47,58.92,-0.407,1.875,1.467,8.141,"1","0",287,"1"
"705",2009,35,99,154,135,3,0,70.662,71,20.83,60.89,293.9,4.66,66.18,2513.917,29.88,55.71,-0.657,0.777,0.12,26.059,"0","0",314,"1"
"706",2010,52,99,154,28,2,0,70.343,75,23.08,63.28,292.3,4.61,68.62,2551.5,29.84,56.46,-0.739,1.494,0.753,65.269,"0","0",314,"1"
"707",2011,80,27,290,75,5,0,70.61,79,16.95,59.67,294.3,4.64,66.46,3070.25,29.53,57.23,-0.131,0.73,0.6,12.762,"1","0",290,"1"
"708",2012,106,38,292,30,5,0,70.156,99,20.79,61.62,295.4,4.64,66.22,4250.833,29.41,59.3,-0.404,1.167,0.763,7.68,"1","0",292,"1"
"709",2013,159,37,295,143,0,0,70.995,61,17.74,62.31,288.1,4.75,69.13,2108.75,30.89,57.23,-0.876,0.851,-0.025,4.901,"1","0",295,"1"
"710",2014,219,54,295,116,1,0,70.933,83,18.85,60.66,289.7,4.65,65.39,3540.75,29.54,59.19,-0.579,0.554,-0.025,13.79,"1","0",295,"1"
"711",2015,208,99,153,96,1,0,70.761,78,20.1,60.06,290.6,4.61,66.24,3419.833,29.15,60.97,-0.511,0.812,0.302,12.64,"0","0",313,"1"
"712",2016,247,99,153,165,2,0,71.057,72,16.09,56.73,289.8,4.71,62.73,3505.417,29.01,56.52,-0.093,0.222,0.128,0,"0","0",313,"1"
"713",2011,10,44,294,1,12,2,69.252,98,27.4,61.93,296.2,4.48,69.84,3588.333,28.77,62.22,0.271,1.492,1.764,36.146,"1","0",294,"0"
"714",2012,20,99,149,16,7,1,70.04,77,21.94,61.47,288.6,4.6,67.47,2979.833,28.79,58.65,0.211,0.912,1.123,44.763,"0","0",309,"1"
"715",2013,24,99,149,17,5,0,69.783,92,24.17,63.3,285.4,4.62,66.67,3330.167,28.93,57.95,0.313,0.958,1.271,36.128,"0","0",309,"1"
"716",2014,44,28,287,33,9,1,70.234,87,18.33,62.24,288.5,4.65,65.28,3210.5,28.83,59.05,0.3,0.58,0.88,26.748,"1","0",287,"1"
"717",2015,81,29,295,22,5,0,70.31,81,20.41,67.85,289.4,4.54,67.81,2645.75,29.35,64.38,-0.646,1.346,0.7,11.326,"1","0",295,"1"
"718",2016,67,99,152,36,2,0,70.359,70,20.31,62.17,286.3,4.69,67.14,2519.667,29.36,59.42,-0.482,1.149,0.667,42.894,"0","0",312,"1"
"719",2017,41,20,286,21,6,0,70.018,102,23.43,65.51,286.2,4.68,65.26,3651.167,28.52,65.15,0.07,0.875,0.945,37.912,"1","1",286,"1"
"720",2017,92,99,152,110,5,1,71.062,95,16.73,57.89,279.6,4.74,60.92,3692.667,28.12,61.5,0.301,-0.134,0.167,4.66,"0","0",312,"0"
"721",2016,53,22,290,52,7,1,70.393,98,18.95,65.28,287.6,4.68,67.35,4796.333,29.08,60.76,0.36,0.598,0.958,23.033,"1","1",290,"0"
"722",2007,30,99,152,87,3,1,70.419,95,20.37,63.32,286.1,4.75,65.5,4327.833,29.19,60.85,-0.208,0.527,0.319,29.729,"0","0",312,"0"
"723",2017,26,50,296,13,4,2,70.163,96,22.83,57.68,306.3,4.62,67.74,3746,29.1,56.95,0.342,0.382,0.724,28.052,"1","0",296,"0"
"724",2008,72,99,147,120,1,0,71.476,89,15.38,63.43,286.9,4.7,65.96,4209.583,29.46,55.72,-0.097,-0.299,-0.397,0,"0","0",307,"0"
"725",2009,29,8,281,41,4,2,70.46,83,22.08,60.56,291.3,4.64,66.17,3593.583,29.19,58.42,-0.065,0.448,0.383,39.543,"1","1",281,"1"
"726",2010,33,20,285,79,2,0,71.033,72,20.2,64.31,288.6,4.71,65.95,2873.25,29.07,56.18,0.188,-0.019,0.166,58.156,"1","1",285,"1"
"727",2011,55,57,299,99,5,0,70.277,63,20.25,62.23,290.2,4.61,62.52,2105,28.69,61.31,0.267,0.003,0.27,12.273,"1","0",299,"1"
"728",2012,151,99,149,151,0,0,71.005,64,20.3,61.06,284.9,4.72,58.51,3055.5,28.5,57.67,0.516,-0.663,-0.146,6.22,"0","0",309,"1"
"729",2013,34,99,154,164,0,0,71.348,56,17.05,62.79,286.7,4.71,62.7,2002.5,29.11,56.65,-0.069,-0.504,-0.573,0,"0","0",314,"1"
"730",2005,38,32,293,32,5,0,70.38,96,20,66.92,290,4.65,66.67,4142.833,29,57.37,0.33,0.591,0.922,69.41,"1","0",293,"0"
"731",2006,56,1,289,64,4,0,70.42,98,18.91,69.63,283.7,4.74,66.86,3577.75,29.32,57.52,0.045,0.761,0.752,0,"1","1",289,"1"
"732",2007,19,20,291,77,5,2,69.906,76,14.85,73.05,280.4,4.69,64.44,2901.833,28.71,60.42,0.659,0.415,1.074,23.09,"1","1",291,"1"
"733",2008,27,99,150,88,3,1,70.597,85,17.6,73.73,275.1,4.74,67.59,3284.25,29.38,57.14,0.039,0.572,0.611,87.135,"0","0",310,"1"
"734",2009,28,42,295,2,9,2,69.601,94,24.09,71.47,281.2,4.62,67.81,3179,28.76,62.1,0.38,1.165,1.545,18.477,"1","0",295,"1"
"735",2010,34,99,146,37,3,1,70.527,93,21.79,71.24,279.7,4.71,66.54,3711.5,28.73,57.66,0.583,0.21,0.792,15.988,"0","0",306,"1"
"736",2011,44,32,291,20,4,0,69.966,79,16.39,71.06,278.2,4.6,66.38,2953.25,28.71,63.98,0.58,0.453,1.033,28.706,"1","0",291,"1"
"737",2012,27,35,291,9,6,2,69.821,95,22.98,68.53,281.1,4.6,64.95,3781.833,28.45,60.37,0.568,0.629,1.197,12.223,"1","0",291,"1"
"738",2013,9,99,150,50,8,1,70.073,84,23.22,69.68,278.8,4.68,68.14,2744.417,29.35,59.66,0.365,0.479,0.844,82.8,"0","0",310,"1"
"739",2014,24,9,280,26,5,1,70.159,97,20.25,70.51,282.2,4.58,67.42,3347.417,28.9,60.75,0.106,0.751,0.857,28.431,"1","1",280,"1"
"740",2015,16,99,152,13,10,1,69.753,90,23.04,71.21,282.6,4.61,68.58,3199.5,28.78,60.98,0.04,1.081,1.12,39.409,"0","0",312,"1"
"741",2016,49,99,151,65,5,0,70.364,90,19.56,65.23,280.1,4.65,64.53,3122,28.49,62.11,0.395,0.214,0.609,27.706,"0","0",311,"1"
"742",2017,56,36,290,71,4,0,70.393,81,16.75,66.54,286.8,4.75,64.16,3179.833,28.52,60.08,0.415,0.169,0.584,15.116,"1","0",290,"1"
